23:38:48.702  INFO  tests.TestBase             ############### Start  test loginPositiveTest
23:38:48.709  INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
23:38:48.723  INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successfully
23:38:48.786  INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
23:38:48.801  INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successfully
23:38:48.934  INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
23:38:48.959  INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successfully
23:38:49.066  INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
23:38:49.078  INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successfully
23:38:49.109  INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
23:38:50.192  INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successfully
23:38:50.197  INFO  tests.TestBase       ###### Finished  #########
