19:07:22.344  INFO  tests.TestBase             ############### Start  test loginPositiveTest
19:07:22.349  INFO  manager.NGListener  Start of the test: loginPositiveTest
19:07:22.351  INFO  manager.MyListener  Start searching element by By.xpath: //a[@href='/login']
19:07:22.374  INFO  manager.MyListener  The element with locator by By.xpath: //a[@href='/login'] is found successfully
19:07:22.430  INFO  manager.MyListener  Start searching element by By.xpath: //input[1]
19:07:22.450  INFO  manager.MyListener  The element with locator by By.xpath: //input[1] is found successfully
19:07:22.564  INFO  manager.MyListener  Start searching element by By.xpath: //input[2]
19:07:22.587  INFO  manager.MyListener  The element with locator by By.xpath: //input[2] is found successfully
19:07:22.698  INFO  manager.MyListener  Start searching element by By.xpath: //button[1]
19:07:22.711  INFO  manager.MyListener  The element with locator by By.xpath: //button[1] is found successfully
19:07:22.743  INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Sign Out']
19:07:23.670  INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Sign Out'] is found successfully
19:07:23.675  INFO  manager.NGListener  Test Success: loginPositiveTest
19:07:23.676  INFO  tests.TestBase       ###### Finished  #########
